Год,Регист номер,Объем T,Влага %,Протеин %,Калий г/кг,Клетчатка %,Зола %,Кальций г/кг,Фосфор г/кг,Каротин мг/кг,Сахар,Нитраты мг/кг,Жир %,ОЭ МДж,Корм. ед.,Перев прот. г/кг,Кач-во корма,Крахм %,Наименование,Outlier,Cluster
2021,65,500.00,74.83,15.9,27.0,30.9,9.2,17.5,3.2,,3.0,,3.2,8.35,0.61,107.0,2,1.2,Люцерновый,False,0
2021,44,0.00,75.79,19.3,,27.18,10.45,,,,6.0,,2.42,8.33,0.64,129.0,1,2.3,Люцерновый,False,0
2021,85,0.00,78.26,10.4,,40.86,9.0,,,,5.0,,1.85,7.88,0.49,70.0,,1.6,Люцерновый,False,0
2021,95,0.00,0.0,,,,,,,,,,,9.18,1.03,,,,Люцерновый,False,1
2021,488,702.00,70.26,10.9,19.3,35.66,7.0,17.1,2.7,16.0,6.0,363.0,2.12,8.21,0.57,73.0,3,1.6,Люцерновый,False,0
2022,777,0.00,79.21,13.0,19.2,33.3,9.2,19.9,1.9,,3.0,,2.12,8.12,0.57,87.0,,2.3,Люцерновый,False,0
2022,279,1100.00,78.24,12.9,,32.63,9.71,,,,7.0,,1.64,9.04,0.57,86.0,,1.3,Люцерновый,False,0
2022,325,780.00,68.79,13.9,25.8,27.14,8.8,25.4,2.1,65.0,18.0,347.0,2.25,8.33,0.65,93.0,1,1.9,Люцерновый,False,0
2022,55,1414.00,71.81,12.9,21.9,35.44,8.95,17.9,2.4,15.0,3.0,371.0,3.54,8.23,0.57,87.0,,1.8,Люцерновый,False,0
2022,56,814.00,76.33,14.1,22.4,32.13,9.96,17.7,2.9,17.0,4.0,380.0,3.45,8.23,0.59,94.0,,1.5,Люцерновый,False,0
2022,738,942.00,67.1,15.0,16.4,26.16,9.3,28.9,2.3,49.0,7.0,380.0,2.59,8.37,0.66,101.0,1,5.3,Люцерновый,False,0
2022,739,410.00,67.0,12.2,16.9,25.72,8.5,24.7,2.4,45.0,3.0,363.0,2.64,8.38,0.67,82.0,2,4.2,Люцерновый,False,0
2022,347,1236.00,72.2,17.3,20.8,30.88,9.0,18.2,2.6,,5.0,,1.88,8.28,0.6,116.0,1,1.9,Люцерновый,False,0
2022,85,612.00,71.92,13.1,,27.88,7.62,20.7,3.2,,41.0,,2.96,8.47,0.66,88.0,1,2.3,Люцерновый,False,0
2022,333,1000.00,76.68,13.6,27.5,30.61,9.1,19.3,3.3,73.0,3.0,309.0,2.01,8.19,0.61,91.0,2,1.6,Люцерновый,False,0
2022,552,1000.00,68.29,16.8,,30.57,10.8,,,,9.0,,2.12,8.13,0.59,113.0,1,2.1,Люцерновый,False,0
2022,195,596.00,64.12,15.9,,30.87,9.2,,,,18.0,,2.01,8.24,0.6,106.0,1,1.5,Люцерновый,False,0
2022,391,2393.00,70.69,10.4,20.8,26.6,6.5,18.9,2.7,34.0,7.0,302.0,2.35,8.47,0.68,70.0,2,1.8,Люцерновый,False,0
2022,256,1000.00,74.43,15.1,23.9,25.2,8.9,15.4,1.9,66.0,4.0,398.0,2.08,8.38,0.67,101.0,1,4.1,Люцерновый,False,0
2022,254,1000.00,68.63,12.3,19.1,26.03,11.4,13.8,2.7,41.0,5.0,380.0,1.85,8.04,0.63,82.0,2,3.6,Люцерновый,False,0
2022,659,500.00,74.95,12.2,15.3,39.18,9.1,24.6,1.8,,2.0,,1.98,7.96,0.51,82.0,,0.6,Люцерновый,False,0
2022,153,333.00,74.78,15.1,21.3,26.33,9.1,16.9,3.0,56.0,6.0,355.0,3.05,8.43,0.66,101.0,1,1.2,Люцерновый,False,0
2023,141,500.00,71.29,19.5,27.1,25.4,9.3,22.2,3.3,60.0,9.0,288.0,2.61,8.5,0.67,131.0,1,1.2,Люцерновый,False,0
2023,51,500.00,62.43,12.9,23.5,22.81,8.9,23.7,1.9,32.0,47.0,191.0,2.41,8.41,0.7,87.0,2,1.8,Люцерновый,False,0
2023,254,1600.00,70.4,16.8,22.4,22.95,9.2,14.7,3.2,54.0,6.0,204.0,2.89,8.52,0.7,113.0,1,1.0,Люцерновый,False,0
2023,365,0.00,64.0,12.3,21.2,28.5,8.1,14.6,3.1,44.0,6.0,214.0,2.05,8.3,0.64,82.0,2,1.5,Люцерновый,False,0
2023,697,914.00,65.0,12.8,24.5,24.5,8.2,12.7,2.5,29.0,6.0,282.0,2.8,8.47,0.69,85.0,2,4.2,Люцерновый,False,0
2023,699,497.00,66.3,12.8,22.1,25.4,8.3,16.3,2.5,35.0,18.0,251.0,2.4,8.4,0.68,86.0,2,2.2,Люцерновый,False,0
2023,310,500.00,67.2,16.2,25.5,25.2,6.9,23.4,2.5,51.0,5.0,257.0,2.56,8.64,0.69,108.0,1,1.1,Люцерновый,False,0
2023,425,500.00,66.9,13.4,18.7,26.5,8.4,14.9,2.2,39.0,7.0,204.0,2.12,8.35,0.66,90.0,1,1.1,Люцерновый,False,0
2023,164,900.00,76.6,14.6,21.2,31.7,7.4,20.4,2.4,73.0,9.0,269.0,2.11,8.36,0.61,98.0,3,1.3,Люцерновый,False,0
2023,314,500.00,75.8,14.1,21.4,28.4,9.3,9.9,3.2,70.0,7.0,269.0,2.69,8.3,0.63,95.0,2,1.4,Люцерновый,False,0
